google_place_id,col_index
ChIJiYix3uCbqTMRAqkwfbD7es0,0
ChIJPwVVvlqfqTMR8k8YW0-7Luo,1
ChIJAeJQylufqTMRoYHzWBE4lzM,2
ChIJdZVg9F6ZqTMRbU7ErBLR6vU,3
ChIJQVwA2-ObqTMR--ZXFjrCXiQ,4
ChIJmRDV5l6ZqTMR_TGUzibVfww,5
ChIJH7-Frg-hqTMRcR-eubefklo,6
ChIJz_XF1U-ZqTMRLuh28VvaWq0,7
ChIJkRLIDF2ZqTMRYsvjh5V6j3M,8
ChIJdWAY9omZqTMR5PT1YBVRFhM,9
ChIJU4E_P7yeqTMRmYjKAQ_D5kY,10
ChIJXZDS_wqcqTMRtjB3-gvX4X4,11
ChIJ8ZcMGyuZqTMRh0kBRAhSv_o,12
ChIJtUqLDKibqTMRvX48jFWyLX8,13
ChIJSWEB-vehqTMRqKcQS5qhODE,14
ChIJadEVV0yZqTMRekT3PI-8Jwc,15
ChIJQYJWH1-ZqTMRL8vTiCw8NSk,16
ChIJ4dWUPl-ZqTMRRAXUfxKt42s,17
ChIJhwbYF6KhqTMRnblKTxe9bqo,18
ChIJ1x1EHOGbqTMR5_q34HlTerk,19
ChIJocIZfv6bqTMRMHD_dmj-wqg,20
ChIJAaoG--ObqTMRRGDPktel7bk,21
ChIJpbDccACbqTMRJYVjO8bttgI,22
ChIJ__-v5-GbqTMRZsiTt-BnJLw,23
ChIJT7kt7uGbqTMRE9pS3Ayv3ao,24
ChIJlWUN8-GbqTMRepueypood48,25
ChIJ44n4BUqZqTMRnTzd5jeE0gQ,26
ChIJ0_q_fuGbqTMR7Jtr5sWh-hU,27
ChIJO88KUwCfqTMRXjMon7rGBD0,28
ChIJwQ3KH9qYqTMRiX2vvF5-pcI,29
ChIJS5JJOgadqTMRUJqM5_VlPyo,30
ChIJR3ruO0WfqTMRGBL1kQa3o_k,31
ChIJkw4YkuSbqTMRj-KNt73Rp_w,32
ChIJkdhu5OObqTMRKja-3osRDPM,33
ChIJEXt_JeGbqTMRBiTzDaj6YkE,34
ChIJ5-E8c0WZqTMRl_XfV23NVlI,35
ChIJkZqKMgCbqTMRzNY50ysUixQ,36
ChIJJ6QUUPKhqTMRNu715p48jA8,37
ChIJrUuKapKVqzMRQvxRUEQqaqc,38
ChIJAQAAAJGdqzMRCm_lZQIGNNs,39
ChIJ-5U3mZehqTMRyboNdkeoXsQ,40
ChIJeX8MgLLYqzMRue1rgnb9bHY,41
ChIJG307GL6WqzMRTsYGmmkWu7k,42
ChIJzaFdmHHAqzMRzyRjfu-ZeDU,43
ChIJjwZQ6IvcqzMR0WqHoCd4ap4,44
ChIJ56x_EsGbqzMR-DcsH4m41Z8,45
ChIJL_Kb3FidqzMRBxynW5Qfs0I,46
ChIJ4bgwIiOcqzMROg1NpXKtrcA,47
ChIJe4fNPUCZqTMR5ifh0jqkDSg,48
ChIJOeNmWACVqzMRVj54zGvmqAc,49
ChIJQRl4S1iZqTMRZzvp3uOXAFg,50
ChIJfcqOsBqZqTMR-AN8c3kGw_I,51
ChIJYXnnKByZqTMRC1Wb7XGAw3E,52
ChIJZW5_y-abqTMRO1ZYVTbD6mE,53
ChIJ7QGoYuGbqTMRU-2y4Igwiyw,54
ChIJUx4yODN2qzMRkZqWp_7Nego,55
ChIJf4X5EVeZqTMRQ_EpX26alNA,56
ChIJ3xcIQNCXqTMR5QCimnAfri4,57
ChIJBcknJOGbqTMR0FI5ageqdP8,58
ChIJsU0lXrqbqTMRSzJaUJRJoiQ,59
ChIJPTWPS_6bqTMRToHjT4WgsQY,60
ChIJs6m8SvabqTMRcrwULq3v-uk,61
ChIJkQyF2eCbqTMRT8Gue94LhzI,62
