google_place_id,name,category,location_zone,rating_norm,review_count_norm,weighted_score,category_enc,zone_enc,cat_accommodation,cat_attraction,cat_beach,cat_entertainment,cat_food_drink,cat_history,cat_museum,cat_nature,cat_religious,cat_shopping,zone_cebu_city,zone_eastern_cebu,zone_north_cebu,zone_north_metro,zone_south_cebu,zone_south_metro
ChIJiYix3uCbqTMRAqkwfbD7es0,Fort San Pedro,attraction,cebu_city,0.8,0.9410782382806875,0.8001848772594393,1,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
ChIJPwVVvlqfqTMR8k8YW0-7Luo,Temple of Leah,attraction,cebu_city,0.8,0.9718922168255049,0.8001411961928331,1,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
ChIJAeJQylufqTMRoYHzWBE4lzM,TOPS Cebu,nature,cebu_city,0.875,0.8977691500114221,0.8745781877082153,7,0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
ChIJdZVg9F6ZqTMRbU7ErBLR6vU,Casa Gorordo Museum,museum,cebu_city,0.8999999999999999,0.728645319872463,0.8971994724892661,6,0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
ChIJQVwA2-ObqTMR--ZXFjrCXiQ,Magellan's Cross,history,cebu_city,0.8500000000000001,0.989185684380206,0.8499139721073367,5,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
ChIJmRDV5l6ZqTMR_TGUzibVfww,Yap-San Diego Ancestral House,history,cebu_city,0.8500000000000001,0.7827031987335773,0.8494819848920795,5,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
ChIJH7-Frg-hqTMRcR-eubefklo,Sirao Garden,attraction,north_metro,0.8500000000000001,0.8501663048262773,0.8497106399983101,1,3,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
ChIJz_XF1U-ZqTMRLuh28VvaWq0,Sky Experience Adventure,attraction,cebu_city,0.8,0.6953727320840072,0.8015318678051762,1,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
ChIJkRLIDF2ZqTMRYsvjh5V6j3M,Museo Sugbo,museum,cebu_city,0.825,0.7005250387546226,0.8252135744773753,6,0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
ChIJdWAY9omZqTMR5PT1YBVRFhM,Beverly Hills Lahug Cebu City,attraction,cebu_city,0.875,0.4503417356792985,0.8601489204801508,1,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
ChIJU4E_P7yeqTMRmYjKAQ_D5kY,Celestial Garden,religious,cebu_city,0.7,0.31524143251249886,0.7797893056042371,8,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
ChIJXZDS_wqcqTMRtjB3-gvX4X4,The Cube - SM Seaside City,history,cebu_city,0.825,0.5983642581794981,0.825489502882628,5,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
